Split,OptimizationTime,TrainingTime,InferenceTime,Accuracy,Specificity,Precision,Recall,F1Score,ROC_AUC,AUC_PR
1,11.019312620162964,1.7775895595550537,0.015413761138916016,0.8371428571428572,0.8787878787878788,0.47058823529411764,0.6037735849056604,0.5289256198347108,0.7706626008512801,0.4634949806302726
2,10.319420576095581,2.8651645183563232,0.017596006393432617,0.8514285714285714,0.8787878787878788,0.5068493150684932,0.6981132075471698,0.5873015873015873,0.8446096181945238,0.541972076654357
3,8.4462308883667,1.9481799602508545,0.01798391342163086,0.8371428571428572,0.8754208754208754,0.4714285714285714,0.6226415094339622,0.5365853658536586,0.7667873705609555,0.4672351474256468
